Día,Fecha,Hora,Local,Marcador,Visitante,Resultado,Sedes,Árbitro,Goles Local,Goles Visitante,Resultado Codificado
Vie,2025-03-28,20:00:00,Universitario,3–1,Sport Huancayo,Ganó Local,Estadio Alejandro Villanueva,Augusto Menéndez,3,1,0
Dom,2025-03-30,13:00:00,CDC Santa Rosa,3–1,Alianza Univ,Ganó Local,Estadio Los Chankas,Michael Espinoza,3,1,0
Dom,2025-03-30,15:30:00,Juan Pablo II,4–2,UTC,Ganó Local,Estadio de la Juventud,Joel Alarcón,4,2,0
Vie,2025-04-04,17:30:00,Binacional,1–1,Ayacucho,Empate,Estadio Guillermo Briceño Rosamedina,Sebastián Lozano,1,1,1
Sáb,2025-04-05,10:15:00,Atlético Grau,1–1,Cienciano,Empate,Estadio Campeones del 36,Jonathan Zamora,1,1,1
Sáb,2025-04-05,15:15:00,Melgar,4–0,ADT Tarma,Ganó Local,Estadio de la Universidad Nacional San A...,Kevin Menéndez Lagos,4,0,0
Vie,2025-04-04,20:00:00,Sport Huancayo,0–3,Deportivo Garcilaso,Ganó Visitante,Estadio Huancayo,Jesús Cartagena,0,3,2
Dom,2025-04-06,13:15:00,Cusco,4–2,Juan Pablo II,Ganó Local,Estadio Inca Garcilaso de la Vega,Roberto Pérez,4,2,0
Dom,2025-04-06,14:00:00,Sport Boys,1–1,CDC Santa Rosa,Empate,Estadio Miguel Grau del Callao,Kevin Ortega,1,1,1
Dom,2025-04-06,15:30:00,UTC,4–1,Sporting Cristal,Ganó Local,Estadio Municipal Germán Contreras Jara,Edwin Ordóñez,4,1,0
Dom,2025-04-06,18:00:00,Alianza Univ,0–2,Comerciantes Unidos,Ganó Visitante,Estadio Heraclio Tapia León,Julio Quiróz,0,2,2
Sáb,2025-04-05,19:00:00,Alianza Lima,1–1,Universitario,Empate,Estadio Alejandro Villanueva,Daniel Ureta,1,1,1
Vie,2025-04-11,13:15:00,Ayacucho,0–1,UTC,Ganó Visitante,Estadio Manuel Eloy Molina Robles,Christian Zegarra,0,1,2
Vie,2025-04-11,15:30:00,CDC Santa Rosa,1–3,Sport Huancayo,Ganó Visitante,Estadio Los Chankas,Julio Quiróz,1,3,2
Sáb,2025-04-12,15:30:00,Juan Pablo II,1–0,Alianza Atlético,Ganó Local,Estadio de la Juventud,Pablo López,1,0,0
Dom,2025-04-13,11:00:00,Sporting Cristal,1–0,Cusco,Ganó Local,Estadio Alberto Gallardo,Diego Haro,1,0,0
Dom,2025-04-13,13:15:00,Comerciantes Unidos,0–4,Sport Boys,Ganó Visitante,Estadio Municipal Germán Contreras Jara,Daniel Ureta,0,4,2
Dom,2025-04-13,15:30:00,ADT Tarma,1–1,Binacional,Empate,Estadio Municipal Unión de Tarma,Michael Espinoza,1,1,1
Sáb,2025-04-12,19:00:00,Cienciano,0–1,Alianza Univ,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Italo Carmona,0,1,2
Dom,2025-04-13,19:00:00,Universitario,4–1,Melgar,Ganó Local,Estadio Monumental U Marathon,Kevin Ortega,4,1,0
Lun,2025-04-14,19:30:00,Deportivo Garcilaso,0–1,Alianza Lima,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Joel Alarcón,0,1,2
Vie,2025-04-18,15:00:00,Melgar,1–2,Deportivo Garcilaso,Ganó Visitante,Estadio de la Universidad Nacional San A...,Daniel Ureta,1,2,2
Vie,2025-04-18,17:00:00,Binacional,1–3,Universitario,Ganó Visitante,Estadio Guillermo Briceño Rosamedina,Daniel Ureta,1,3,2
Jue,2025-04-17,20:00:00,Alianza Univ,0–0,Atlético Grau,Empate,Estadio Heraclio Tapia León,Kevin Ortega,0,0,1
Sáb,2025-04-19,13:00:00,Sport Boys,2–2,Cienciano,Empate,Estadio Miguel Grau del Callao,Jesús Cartagena,2,2,1
Sáb,2025-04-19,15:30:00,Alianza Atlético,1–0,Sporting Cristal,Ganó Local,Estadio Campeones del 36,Micke Palomino,1,0,0
Vie,2025-04-18,20:00:00,Alianza Lima,1–0,CDC Santa Rosa,Ganó Local,Estadio Alejandro Villanueva,Augusto Menéndez,1,0,0
Dom,2025-04-20,13:15:00,UTC,0–1,ADT Tarma,Ganó Visitante,Estadio Municipal Germán Contreras Jara,Victor Cori,0,1,2
Dom,2025-04-20,15:30:00,Sport Huancayo,4–2,Comerciantes Unidos,Ganó Local,Estadio Huancayo,Robin Segura Tuanama,4,2,0
Sáb,2025-04-19,19:00:00,Cusco,3–0,Ayacucho,Ganó Local,Estadio Inca Garcilaso de la Vega,Michael Espinoza,3,0,0
Sáb,2025-04-26,13:00:00,Ayacucho,0–2,Alianza Atlético,Ganó Visitante,Estadio Manuel Eloy Molina Robles,Jasmani Chambi,0,2,2
Sáb,2025-04-26,18:30:00,Deportivo Garcilaso,0–1,Binacional,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Julio Quiróz,0,1,2
Dom,2025-04-27,13:15:00,CDC Santa Rosa,1–1,Melgar,Empate,Estadio Los Chankas,Roberto Pérez,1,1,1
Dom,,15:30:00,Atlético Grau,3–3,Sport Boys,Empate,Estadio Campeones del 36,Augusto Menéndez,3,3,1
Dom,2025-04-27,18:00:00,Universitario,6–0,UTC,Ganó Local,Estadio Monumental U Marathon,Sebastián Lozano,6,0,0
Lun,2025-04-28,13:00:00,Sporting Cristal,3–2,Juan Pablo II,Ganó Local,Estadio Alberto Gallardo,Michael Espinoza,3,2,0
Lun,2025-04-28,15:30:00,ADT Tarma,2–1,Cusco,Ganó Local,Estadio Municipal Unión de Tarma,Pablo López,2,1,0
Lun,2025-04-28,19:30:00,Cienciano,2–1,Sport Huancayo,Ganó Local,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,2,1,0
Vie,2025-05-02,15:30:00,Sport Huancayo,3–0,Atlético Grau,Ganó Local,Estadio Huancayo,Joel Alarcón,3,0,0
Jue,2025-05-01,19:30:00,Melgar,1–1,Comerciantes Unidos,Empate,Estadio de la Universidad Nacional San A...,Jordy Espinoza,1,1,1
Sáb,2025-05-03,13:00:00,UTC,2–1,Deportivo Garcilaso,Ganó Local,Estadio Municipal Germán Contreras Jara,Kevin Ortega,2,1,0
Sáb,2025-05-03,15:30:00,Juan Pablo II,0–0,Ayacucho,Empate,Estadio de la Juventud,Daniel Ureta,0,0,1
Sáb,2025-05-03,18:30:00,Cusco,2–0,Universitario,Ganó Local,Estadio Inca Garcilaso de la Vega,Edwin Ordóñez,2,0,0
Vie,2025-05-02,19:30:00,Alianza Lima,0–1,Cienciano,Ganó Visitante,Estadio Alejandro Villanueva,Roberto Pérez,0,1,2
Dom,2025-05-04,13:00:00,Sport Boys,4–2,Alianza Univ,Ganó Local,Estadio Miguel Grau del Callao,Diego Haro,4,2,0
Dom,2025-05-04,15:30:00,Alianza Atlético,2–0,ADT Tarma,Ganó Local,Estadio Campeones del 36,Christian Zegarra,2,0,0
Dom,2025-05-04,18:00:00,Binacional,1–2,CDC Santa Rosa,Ganó Visitante,Estadio Guillermo Briceño Rosamedina,Jesús Cartagena,1,2,2
Vie,2025-05-09,15:30:00,Comerciantes Unidos,1–1,Binacional,Empate,Estadio Municipal Germán Contreras Jara,Jhonathan Zamora,1,1,1
Sáb,2025-05-10,12:00:00,Ayacucho,1–4,Sporting Cristal,Ganó Visitante,Estadio Manuel Eloy Molina Robles,Kevin Ortega,1,4,2
Sáb,2025-05-10,15:30:00,Atlético Grau,1–1,Alianza Lima,Empate,Estadio Nacional,Edwin Ordóñez,1,1,1
Dom,2025-05-11,13:00:00,CDC Santa Rosa,2–1,UTC,Ganó Local,Estadio Los Chankas,Diego Haro,2,1,0
Dom,2025-05-11,15:15:00,ADT Tarma,2–2,Juan Pablo II,Empate,Estadio Municipal Unión de Tarma,Joel Alarcón,2,2,1
Dom,2025-05-11,17:30:00,Deportivo Garcilaso,1–3,Cusco,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Michael Espinoza,1,3,2
Dom,2025-05-11,18:30:00,Universitario,0–1,Alianza Atlético,Ganó Visitante,Estadio Monumental U Marathon,Jordy Espinoza,0,1,2
Sáb,2025-05-10,21:00:00,Cienciano,1–2,Melgar,Ganó Visitante,Estadio Inca Garcilaso de la Vega,Augusto Menéndez,1,2,2
Lun,2025-05-12,15:30:00,Alianza Univ,0–1,Sport Huancayo,Ganó Visitante,Estadio Heraclio Tapia León,Pablo López,0,1,2
Vie,2025-05-16,15:30:00,Alianza Atlético,1–0,Deportivo Garcilaso,Ganó Local,Estadio Campeones del 36,Robin Segura Tuanama,1,0,0
Sáb,2025-05-17,15:00:00,UTC,2–0,Comerciantes Unidos,Ganó Local,Estadio Municipal Germán Contreras Jara,Jesús Cartagena,2,0,0
Sáb,2025-05-17,15:30:00,Sporting Cristal,2–1,ADT Tarma,Ganó Local,Estadio Alberto Gallardo,Julio Quiróz,2,1,0
Sáb,2025-05-17,18:00:00,Cusco,3–3,CDC Santa Rosa,Empate,Estadio Inca Garcilaso de la Vega,Sebastián Lozano,3,3,1
Dom,2025-05-18,13:15:00,Sport Huancayo,1–0,Sport Boys,Ganó Local,Estadio Huancayo,Jordy Espinoza,1,0,0
Dom,2025-05-18,15:30:00,Juan Pablo II,2–0,Universitario,Ganó Local,Estadio Nacional,Micke Palomino,2,0,0
Dom,2025-05-18,18:00:00,Melgar,1–1,Atlético Grau,Empate,Estadio de la Universidad Nacional San A...,Kevin Ortega,1,1,1
Lun,2025-05-19,17:30:00,Binacional,1–1,Cienciano,Empate,Estadio Guillermo Briceño Rosamedina,Daniel Ureta,1,1,1
Lun,2025-05-19,20:00:00,Alianza Lima,2–0,Alianza Univ,Ganó Local,Estadio Alejandro Villanueva,Michael Espinoza,2,0,0
Vie,2025-05-23,15:30:00,Alianza Univ,1–1,Melgar,Empate,Estadio Heraclio Tapia León,Micke Palomino,1,1,1
Jue,2025-05-22,21:00:00,Universitario,2–0,Sporting Cristal,Ganó Local,Estadio Monumental U Marathon,Joel Alarcón,2,0,0
Sáb,2025-05-24,13:00:00,Comerciantes Unidos,1–2,Cusco,Ganó Visitante,Estadio Municipal Germán Contreras Jara,Edwin Ordóñez,1,2,2
Sáb,2025-05-24,15:30:00,Atlético Grau,3–0,Binacional,Ganó Local,Estadio Campeones del 36,Pablo López,3,0,0
Sáb,2025-05-24,18:00:00,Cienciano,6–1,UTC,Ganó Local,Estadio Inca Garcilaso de la Vega,Kevin Ortega,6,1,0
Vie,2025-05-23,20:00:00,Sport Boys,0–1,Alianza Lima,Ganó Visitante,Estadio de la Universidad Nacional Mayor...,Sebastián Lozano,0,1,2
Dom,2025-05-25,13:00:00,ADT Tarma,0–1,Ayacucho,Ganó Visitante,Estadio Municipal Unión de Tarma,Michael Espinoza,0,1,2
Dom,2025-05-25,15:15:00,CDC Santa Rosa,1–2,Alianza Atlético,Ganó Visitante,Estadio Los Chankas,Daniel Ureta,1,2,2
Dom,2025-05-25,18:00:00,Deportivo Garcilaso,4–0,Juan Pablo II,Ganó Local,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,4,0,0
Jue,2025-06-12,15:00:00,Alianza Atlético,3–0,Comerciantes Unidos,Ganó Local,Estadio Campeones del 36,Kevin Ortega,3,0,0
Vie,2025-06-13,15:00:00,UTC,0–2,Atlético Grau,Ganó Visitante,Estadio Municipal Germán Contreras Jara,Christian Zegarra,0,2,2
Sáb,2025-06-14,13:15:00,Melgar,2–1,Sport Boys,Ganó Local,Estadio de la Universidad Nacional San A...,Julio Quiróz,2,1,0
Sáb,2025-06-14,15:30:00,Juan Pablo II,3–0,CDC Santa Rosa,Ganó Local,Estadio de la Juventud,Roberto Pérez,3,0,0
Vie,2025-06-13,19:00:00,Cusco,0–0,Cienciano,Empate,Estadio Inca Garcilaso de la Vega,Jordy Espinoza,0,0,1
Dom,2025-06-15,11:00:00,Sporting Cristal,3–2,Deportivo Garcilaso,Ganó Local,Estadio Alberto Gallardo,Augusto Menéndez,3,2,0
Dom,2025-06-15,15:00:00,Ayacucho,0–1,Universitario,Ganó Visitante,Estadio Manuel Eloy Molina Robles,Sebastián Lozano,0,1,2
Dom,2025-06-15,17:30:00,Binacional,1–1,Alianza Univ,Empate,Estadio Guillermo Briceño Rosamedina,Joel Alarcón,1,1,1
Sáb,2025-06-14,20:00:00,Alianza Lima,0–0,Sport Huancayo,Empate,Estadio Alejandro Villanueva,Micke Palomino,0,0,1
Jue,2025-06-19,15:00:00,Atlético Grau,0–0,Cusco,Empate,Estadio Campeones del 36,Roberto Pérez,0,0,1
Mié,2025-06-18,19:00:00,Comerciantes Unidos,0–1,Alianza Lima,Ganó Visitante,Estadio Municipal Germán Contreras Jara,Edwin Ordóñez,0,1,2
Vie,2024-01-26,15:00:00,UTC,1–0,Deportivo Garcilaso,Ganó Local,Estadio Héroes de San Ramón,,1,0,0
Sáb,2024-01-27,15:00:00,Sporting Cristal,6–2,ADT Tarma,Ganó Local,Estadio Alberto Gallardo,,6,2,0
Sáb,2024-01-27,17:30:00,Sport Huancayo,1–0,Sport Boys,Ganó Local,Estadio Huancayo,,1,0,0
Vie,2024-01-26,19:00:00,Melgar,2–3,Cusco,Ganó Visitante,Estadio de la Universidad Nacional San A...,,2,3,2
Dom,2024-01-28,14:30:00,Atlético Grau,1–1,Alianza Atlético,Empate,Estadio Campeones del 36,,1,1,1
Dom,2024-01-28,17:00:00,Mannucci,0–4,Universitario,Ganó Visitante,Estadio Mansiche,,0,4,2
Sáb,2024-01-27,20:00:00,Cienciano,1–0,Comerciantes Unidos,Ganó Local,Estadio Inca Garcilaso de la Vega,,1,0,0
Lun,2024-01-29,15:00:00,CDC Santa Rosa,2–1,Unión Comercio,Ganó Local,Estadio Los Chankas,,2,1,0
Dom,2024-01-28,20:00:00,Alianza Lima,2–1,U César Vallejo,Ganó Local,Estadio Nacional,,2,1,0
Vie,2024-02-02,15:00:00,Cusco,1–1,UTC,Empate,Estadio Inca Garcilaso de la Vega,,1,1,1
Sáb,2024-02-03,15:00:00,ADT Tarma,1–1,Cienciano,Empate,Estadio Huancayo,,1,1,1
Sáb,2024-02-03,15:30:00,Unión Comercio,2–2,Mannucci,Empate,Estadio del IPD,,2,2,1
Vie,2024-02-02,20:00:00,U César Vallejo,3–2,Melgar,Ganó Local,Estadio Mansiche,,3,2,0
Dom,2024-02-04,14:00:00,Alianza Atlético,0–2,Alianza Lima,Ganó Visitante,Estadio Campeones del 36,,0,2,2
Dom,2024-02-04,16:00:00,Sport Boys,1–3,Sporting Cristal,Ganó Visitante,Estadio Miguel Grau del Callao,,1,3,2
Sáb,2024-02-03,20:00:00,Universitario,1–0,Atlético Grau,Ganó Local,Estadio Monumental U Marathon,,1,0,0
Lun,2024-02-05,15:00:00,Comerciantes Unidos,3–2,CDC Santa Rosa,Ganó Local,Estadio Municipal Germán Contreras Jara,,3,2,0
Dom,2024-02-04,19:00:00,Deportivo Garcilaso,0–2,Sport Huancayo,Ganó Visitante,Estadio Inca Garcilaso de la Vega,,0,2,2
Vie,2024-02-09,15:00:00,UTC,4–0,U César Vallejo,Ganó Local,Estadio Municipal Germán Contreras Jara,,4,0,0
Sáb,2024-02-10,15:00:00,Melgar,1–0,Alianza Atlético,Ganó Local,Estadio de la Universidad Nacional San A...,,1,0,0
Sáb,2024-02-10,15:30:00,Mannucci,1–3,Comerciantes Unidos,Ganó Visitante,Estadio Mansiche,,1,3,2
Vie,2024-02-09,19:00:00,Cienciano,2–2,Sporting Cristal,Empate,Estadio Inca Garcilaso de la Vega,,2,2,1
Dom,2024-02-11,15:00:00,CDC Santa Rosa,2–0,ADT Tarma,Ganó Local,Estadio Los Chankas,,2,0,0
Dom,2024-02-11,16:00:00,Sport Boys,2–0,Deportivo Garcilaso,Ganó Local,Estadio Miguel Grau del Callao,,2,0,0
Dom,2024-02-11,18:00:00,Sport Huancayo,2–0,Cusco,Ganó Local,Estadio Huancayo,,2,0,0
Sáb,2024-02-10,20:00:00,Alianza Lima,0–1,Universitario,Ganó Visitante,Estadio Nacional,,0,1,2
Lun,2024-02-12,14:30:00,Atlético Grau,1–0,Unión Comercio,Ganó Local,Estadio Campeones del 36,,1,0,0
Vie,2024-02-16,14:30:00,Alianza Atlético,2–0,UTC,Ganó Local,Estadio Campeones del 36,,2,0,0
Jue,2024-02-15,20:00:00,Sporting Cristal,4–1,CDC Santa Rosa,Ganó Local,Estadio Alberto Gallardo,,4,1,0
Sáb,2024-02-17,15:00:00,ADT Tarma,4–0,Mannucci,Ganó Local,Estadio Municipal Unión de Tarma,,4,0,0
Sáb,2024-02-17,18:00:00,Cusco,1–0,Deportivo Garcilaso,Ganó Local,Estadio Inca Garcilaso de la Vega,,1,0,0
Dom,2024-02-18,14:00:00,Unión Comercio,1–3,Alianza Lima,Ganó Visitante,Estadio del IPD,,1,3,2
Dom,2024-02-18,17:00:00,Cienciano,3–2,Sport Boys,Ganó Local,Estadio Inca Garcilaso de la Vega,,3,2,0
Sáb,2024-02-17,20:00:00,Universitario,2–0,Melgar,Ganó Local,Estadio Monumental U Marathon,,2,0,0
Lun,2024-02-19,15:00:00,Comerciantes Unidos,2–2,Atlético Grau,Empate,Estadio Juan Maldonado Gamarra,,2,2,1
Dom,2024-02-18,19:30:00,U César Vallejo,1–1,Sport Huancayo,Empate,Estadio Mansiche,,1,1,1
Vie,2024-02-23,15:00:00,Sport Huancayo,4–0,Alianza Atlético,Ganó Local,Estadio Huancayo,,4,0,0
Sáb,2024-02-24,15:00:00,UTC,0–0,Universitario,Empate,Estadio Municipal Germán Contreras Jara,,0,0,1
Sáb,2024-02-24,15:00:00,Sport Boys,3–0,Cusco,Ganó Local,Estadio Miguel Grau del Callao,,3,0,0
Sáb,2024-02-24,17:30:00,Melgar,2–1,Unión Comercio,Ganó Local,Estadio de la Universidad Nacional San A...,,2,1,0
Sáb,2024-02-24,18:15:00,Mannucci,0–4,Sporting Cristal,Ganó Visitante,Estadio Mansiche,,0,4,2
Dom,2024-02-25,13:45:00,Atlético Grau,2–2,ADT Tarma,Empate,Estadio Municipal Bernales,,2,2,1
Dom,2024-02-25,16:00:00,Alianza Lima,5–1,Comerciantes Unidos,Ganó Local,Estadio Alejandro Villanueva,,5,1,0
Lun,2024-02-26,15:00:00,CDC Santa Rosa,1–2,Cienciano,Ganó Visitante,Estadio Los Chankas,,1,2,2
Dom,2024-02-25,19:00:00,Deportivo Garcilaso,2–0,U César Vallejo,Ganó Local,Estadio Inca Garcilaso de la Vega,,2,0,0
Jue,2024-02-29,14:15:00,Alianza Atlético,3–0,Deportivo Garcilaso,Ganó Local,Estadio Campeones del 36,,3,0,0
Vie,2024-03-01,15:00:00,ADT Tarma,2–0,Alianza Lima,Ganó Local,Estadio Municipal Unión de Tarma,,2,0,0
Sáb,2024-03-02,13:15:00,Sporting Cristal,1–0,Atlético Grau,Ganó Local,Estadio Alberto Gallardo,,1,0,0
Sáb,2024-03-02,15:45:00,Comerciantes Unidos,0–0,Melgar,Empate,Estadio Juan Maldonado Gamarra,,0,0,1
Vie,2024-03-01,20:30:00,Universitario,2–0,Sport Huancayo,Ganó Local,Estadio Monumental U Marathon,,2,0,0
Dom,2024-03-03,15:00:00,CDC Santa Rosa,2–0,Sport Boys,Ganó Local,Estadio Los Chankas,,2,0,0
Sáb,2024-03-02,19:00:00,U César Vallejo,2–2,Cusco,Empate,Estadio Mansiche,,2,2,1
Lun,2024-03-04,14:00:00,Unión Comercio,2–0,UTC,Ganó Local,Estadio Municipal Carlos Vidaurre García,,2,0,0
Dom,2024-03-03,19:00:00,Cienciano,2–2,Mannucci,Empate,Estadio Inca Garcilaso de la Vega,,2,2,1
Jue,2024-03-07,15:00:00,Cusco,2–0,Alianza Atlético,Ganó Local,Estadio Inca Garcilaso de la Vega,,2,0,0
Vie,2024-03-08,15:00:00,UTC,2–3,Comerciantes Unidos,Ganó Visitante,Estadio Municipal Germán Contreras Jara,,2,3,2
Sáb,2024-03-09,13:15:00,Atlético Grau,1–1,Cienciano,Empate,Estadio Campeones del 36,,1,1,1
Sáb,2024-03-09,15:30:00,Melgar,3–1,ADT Tarma,Ganó Local,Estadio de la Universidad Nacional San A...,,3,1,0
Sáb,2024-03-09,16:00:00,Mannucci,2–1,CDC Santa Rosa,Ganó Local,Estadio Mansiche,,2,1,0
Vie,2024-03-08,20:00:00,Deportivo Garcilaso,2–2,Universitario,Empate,Estadio Inca Garcilaso de la Vega,,2,2,1
